"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"09003","Hartford, CT ","1","CA4","38","...","  Employer contributions for government social insurance",132861,135723,142046,166308,211661,237848,240896,271386,313039,372861,438097,472306,545041,584748,640812,746210,799658,878007,947695,1061270,1099558,1123455,1135152,1167331,1203069,1232905,1266296,1305661,1367164,1430427,1493289,1599986,1647467,1748415,1766972,1864890,1929968,1950289,2037388,2119697,2081162,2112415,2226363,2308942,2353949
"09003","Hartford, CT ","1","CA4","42","...","Plus: Adjustment for residence 6/",-416262,-421066,-420038,-461824,-522882,-591523,-647143,-702468,-795061,-937946,-1137563,-1347279,-1482673,-1615855,-1739696,-1940010,-2147674,-2401808,-2674789,-2930225,-3159429,-3425159,-3412428,-3528058,-3649961,-3653367,-3606925,-3585556,-3768784,-4067531,-4410041,-4726672,-5087599,-5045676,-5056829,-5471276,-5866093,-6045002,-6653868,-6814740,-6638622,-6982289,-7549098,-7622343,-7525064
"09003","Hartford, CT ","1","CA4","45","...","Equals: Net earnings by place of residence",3013181,3191883,3238983,3476554,3793936,4093341,4272619,4550193,5003395,5647167,6361677,7062409,7576462,8043808,8618014,9551250,10364329,11360498,12602531,13726478,14573217,14991996,15046092,15575109,15938232,16276335,16646180,17249310,18531876,19895115,21104429,23082578,23904941,23992525,24546411,26137909,27343596,28659763,30005640,30014634,29521637,29965257,31131902,32122601,32269432
"09003","Hartford, CT ","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",635670,677895,704602,740718,817703,929693,999285,1056548,1162977,1287829,1450924,1790828,2199441,2476738,2590513,2989255,3069005,3270390,3465641,3883109,4554160,4555750,4294450,4392831,4525658,4534607,4605215,4810546,5008737,5264269,5153374,5679183,5899725,5586111,6017706,6143255,6559323,7709968,8909162,9177814,8253699,8332938,8434416,9676538,9937748
"09003","Hartford, CT ","1","CA4","47","...","Plus: Personal current transfer receipts",271154,323564,407639,422391,451379,528783,697053,745777,775763,784678,886775,1019966,1179137,1309522,1421600,1493483,1592083,1688081,1752747,1892454,2132215,2385179,2678175,3143890,3265192,3369284,3600436,3676672,3770248,3820273,3895986,4084973,4308473,4615695,4686719,4935111,5092041,5444088,5768304,6374830,7300985,7633245,7665663,7879273,7957060
"09003","Hartford, CT ","1","CA4","50","...","Wages and salaries",3053702,3213787,3240813,3496176,3880650,4226510,4387842,4642428,5070005,5769941,6610860,7447545,8077196,8659283,9249305,10247535,11174244,12316190,13613863,14831147,15586128,16160907,16112097,16413605,16668817,16900825,17282778,17829121,19049871,20260087,21421858,23068954,23879923,23772914,24007039,25493182,26774684,27968153,29931545,30161895,29116873,29737884,31054914,32177318,32743659
"09003","Hartford, CT ","1","CA4","60","...","Supplements to wages and salaries",363110,385102,404950,469578,534843,595397,676362,736199,858138,993940,1164175,1320047,1483286,1625383,1771414,1955073,2150124,2397062,2635017,2882892,3147066,3306716,3394743,3598359,3763476,3740226,3794028,3836205,4012678,4237579,4500023,4896427,5119999,5283022,5561884,6159989,6462441,6418004,6785390,7076476,6976290,7160699,7358479,7377931,7292021
"09003","Hartford, CT ","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",230249,249379,262904,303270,323182,357549,435466,464813,545099,621079,726078,847741,938245,1040635,1130602,1208863,1350466,1519055,1687322,1821622,2047508,2183261,2259591,2431028,2560407,2507321,2527732,2530544,2645514,2807152,3006734,3296441,3472532,3534607,3794912,4295099,4532473,4467715,4748002,4956779,4895128,5048284,5132116,5068989,4938072
"09003","Hartford, CT ","1","CA4","62","...","  Employer contributions for government social insurance",132861,135723,142046,166308,211661,237848,240896,271386,313039,372861,438097,472306,545041,584748,640812,746210,799658,878007,947695,1061270,1099558,1123455,1135152,1167331,1203069,1232905,1266296,1305661,1367164,1430427,1493289,1599986,1647467,1748415,1766972,1864890,1929968,1950289,2037388,2119697,2081162,2112415,2226363,2308942,2353949
"09003","Hartford, CT ","1","CA4","70","...","Proprietors' income 9/",264152,273815,286073,285796,301417,315612,319202,381453,442429,494646,524722,527508,532507,494209,550570,671741,711317,730665,862224,993462,1163490,1165668,1210636,1398766,1521968,1730990,1683837,1747092,1944866,2310674,2581323,3029485,3281021,3413070,3509726,3625487,3804599,4263882,4087476,3879876,4280352,4310219,4234146,4281070,4525252
